pedido_id;cliente_id;data_pedido;status;valor_total
913239;27874;01/05/2024 12:56;Confirmado;6517
679493;77948;11/15/2023 18:41;Pending;3950
267663;23863;04/08/2024 14:04;Pending;3931
699688;79354;6/25/2024 17:10;Confirmado;1923
602702;36097;8/21/2023 17:46;Confirmado;125
952021;95973;12/28/2024 18:41;Confirmado;1579
522787;25875;10/07/2023 06:21;Confirmado;1610
990462;60728;9/17/2023 21:45;Confirmado;4441
519176;22221;07/08/2025 09:19;Confirmado;2899
659385;21160;03/11/2024 13:58;Pending;3714
654820;69481;2/23/2025 7:37;Confirmado;2958
896090;83712;11/06/2024 11:47;Confirmado;2104
584765;94356;3/27/2024 20:55;Confirmado;4137
178409;13196;8/26/2023 18:19;CANCELADO;777
887939;77098;10/30/2024 17:35;Confirmado;1790
289722;79354;12/21/2023 3:21;CANCELADO;3691
663150;30390;10/22/2024 13:36;CANCELADO;236
445040;91135;5/19/2025 22:01;CANCELADO;2711
491336;45116;6/24/2024 0:27;CANCELADO;3962
258882;58997;08/03/2023 17:26;CANCELADO;1864
963946;82487;1/28/2024 1:59;Confirmado;473
499967;83712;9/26/2023 18:44;Pending;1544
149528;13196;04/02/2024 07:39;Pending;1267
954384;69166;12/14/2023 4:55;Pending;202
184137;95213;7/14/2024 22:29;Confirmado;6826
680198;77098;6/26/2024 19:10;Confirmado;1157
484081;36921;1/28/2024 5:52;CANCELADO;1261
287621;88503;08/03/2024 09:56;Confirmado;4112
572232;78406;3/14/2024 13:04;Confirmado;4241
389605;35538;01/04/2024 19:02;Pending;4341
127925;22174;12/02/2023 05:49;CANCELADO;3992
200817;63639;06/03/2025 04:49;CANCELADO;1166
849212;75620;12/01/2024 07:06;Confirmado;4721
201017;13470;10/10/2023 02:30;CANCELADO;2557
938461;12412;12/17/2023 0:36;Confirmado;3418
236952;18500;1/26/2024 17:18;Confirmado;1075
381506;57698;10/07/2024 01:36;Confirmado;297
153303;24371;4/28/2025 23:40;CANCELADO;4047
984415;73702;7/27/2024 9:31;Confirmado;1666
673182;57719;12/03/2024 10:28;Confirmado;1355
461704;91090;04/09/2025 17:27;Confirmado;3776
520591;43334;04/11/2024 08:23;Pending;2160
652702;32917;11/26/2024 9:50;Pending;5208
792064;96008;7/21/2025 19:23;Confirmado;3312
963610;35799;11/24/2023 15:23;Confirmado;33
886072;99847;8/21/2023 2:30;Confirmado;4178
699513;74522;03/11/2025 03:15;Confirmado;1210
523270;60784;5/18/2024 18:22;Confirmado;1929
612137;91090;12/06/2023 04:44;CANCELADO;2947
786733;65837;11/20/2023 14:48;Confirmado;5582
427205;78462;4/14/2024 8:41;Confirmado;8181
572955;11352;1/14/2025 13:09;Confirmado;1756
